Title,Downloads
RI Theme 2020-21,129129
RI Theme 2021-22,117534
Rotary Code of Policies,114182
Community Assessment Tools,103778
Standard Rotary Club Constitution,101904
Rotaract Handbook,88073
Rotary Citation Goals and Instructions,80409
Guide to Global Grants,78893
Lead Your Club: President,76433
Contribution Form - The Rotary Foundation,74260
Terms and Conditions for Rotary Foundation District Grants and Global Grants - For grants awarded after 1 July 2013.,73379
Learning Center Course Catalog,71236
Global Grant Scholarship Supplement,69262
Rotary Basics,69151
Bylaws of Rotary International,68514
Rotary’s Areas of Focus,67210
Manual of Procedure,64690
Strategic Planning Guide,63833
Areas of Focus Policy Statements,60486
How to create a My Rotary account,59990
Recommended Rotary Club Bylaws (.doc),59342
The Rotary Foundation Reference Guide,56969
Youth Exchange Handbook,52372
"Presidential Theme and Rotary Citation 2019-20 - Mark Daniel Maloney, 2019-20 President Rotary International",47028
Interact Guide for Rotary Club Sponsors and Advisers,45367
Basic Education and Literacy Project Strategies,45228
Rotary Grants Staff Contact Sheet,44827
Rotary Club Health Check,42726
Rotary Peace Fellowships master's program postcard,40151
Paul Harris Fellow Recognition Transfer Request Form,37925
Rotaract Club Certification Form,37770
An Introduction to Vocational Service,37088
Starting a New Rotary Club,35479
RI Theme 2022-23,34727
Tell Rotary's Story - Voice and Visual Identity Guidelines for Rotarians,34659
Multiple Donor Form,33774
How to Manage Club Officers,33250
District Grants Scholarships Best Practices,32727
Action Plan flyer,32683
How to Manage Club Members,32458
Strengthening Your Membership: Creating Your Membership Plan,32241
Youth Exchange - A Guide for Exchange Students,32113
Club Committee Structure (from Club Officers' Kit),31933
Constitution of Rotary International,31074
Introducing New Members to Rotary: An Orientation Guide,29958
Foundation Recognition Points Fact Sheet,29533
Travel Ban List,28985
How to add a member,28784
Economic and Community Development Project Strategies,28515
Paul Harris Society - Frequently Asked Questions,28389
Guide to Satellite Clubs,28208
Enhancing the Club Experience: Member Satisfaction Survey,27984
Lead Your District: Governor,27201
Global Grant Application Template,26637
2020-21 Theme address - RI President-elect Holger Knaack - 2020 International Assembly,26469
Membership Assessment Tools,26232
Satellite Club Frequently Asked Questions,26143
2021-22 Theme Address - RI President-elect Shekhar Mehta - 2021 International Assembly,26035
Standard Rotaract Club Constitution,25453
Interact Club Certification Form,25335
Understanding Why Members Resign: Exit Survey,24755
Zone Structure List,24580
Global Grant Monitoring and Evaluation Plan Supplement,23464
Rotary Citation Achievement Guide 2019-20,23124
How to Use the Grant Center,23029
Exchange Rates - January 2022,23024
Rotary Peace Fellowship application announcement,22814
Confirmation of Former Rotary Club Membership and Good Financial Standing,22719
Connect to Membership Leads,22682
Exchange Rates - July 2021,22181
RYLA Handbook,22086
Youth Exchange Non-Certified Districts,21238
Rotary Youth Protection Guide,21059
Cooperating Organization Memorandum of Understanding,20771
Lead Your District: Rotary Foundation Committee Manual,20327
How to Update Club Details,20290
Club Models,20251
How to Set a Goal in Rotary Club Central,19919
Rotary at a Glance,19911
Payment Guidelines for Rotarians,19696
Lead Your District: Training,19371
Rotary Peace Fellowships certificate program postcard,18868
How to Update Interact Club Information,18759
Diversifying Your Club: A Member Diversity Assessment,18702
"Every Rotarian, Every Year brochure",18374
Guide to Corporate Membership,18220
Action Plan presentation,17942
New Rotary Club Application Form,17733
Rotarian Code of Conduct,16710
Rotary Brand FAQs,16613
Recommended Rotaract Club Bylaws,16508
Positive Peace Guide for District Conference Workshops,16394
Exchange Rates - June 2021,16319
Grow Your Club Using Membership Leads,16309
Finding New Club Members: A Prospective Member Exercise,16255
Global Grants Community Assessment Results,16108
Rotary Foundation Facts,16074
Guide to Passport Clubs,15902
Exchange Rates - March 2022,15670
Rotary Peace Fellowships - Program Overview and Update presentation,15174
How to pay your club invoice,15139
Connect for Good,15068
Facts about Rotary Scholarships,14990
Exchange Rates - February 2022,14677
Protocol for District Events,14331
Payment Guidelines - Frequently Asked Questions,13979
Member Data Form,13854
Standard Interact Club Constitution,13709
The Rotary Foundation Code of Policies,13552
Representing Your Community�s Professions: A Classification Assessment,13538
Grant Options to Respond to COVID-19,13369
Six Steps to Sustainability,13163
Rotary Citation Frequently Asked Questions,13036
Rotary Citation Goals and Instructions for Rotaract Clubs,12961
Create a club logo - Brand center,12909
Club Memorandum of Understanding,12861
Rotary Community Corps (RCC) Organization Form,12828
Club Meetings,12654
State of Rotary's membership as of 1 January 2021 (PPT),12647
Club Charter Celebrations,12425
Standard Rotary Club Constitution (.doc),12252
Rotary Fellowships flier,12135
Guide for District Rotaract Representatives,12110
Twin Club Certificate of Recognition,11859
Exchange Rates - May 2021,11831
Exchange Rates - August 2021,11830
Exchange Rates - September 2021,11796
Global Grant Calculator,11605
Exchange Rates - April 2022,11556
Speeches - 2013 International Assembly,11545
Peace Fellowships Relevant Experience Eligibility Guide,11536
Regional Leader’s Manual,11425
How to Report Progress on Goals in Rotary Club Central,11380
Improving Your Member Retention: A Retention Assessment and Analysis,11337
Registration and Ticket Form - 2022 Rotary International Convention,11211
Rotary Clubs and the IRS: Frequently Asked Questions,11194
Terms and Conditions for Rotary Disaster Response Grants,11150
Creating a Positive Experience for Prospective Members,11149
Global Grant report template,10866
Governor-Elect Workbook - 2022 International Assembly,10793
How to add a project to Rotary Showcase,10664
How to delegate your online access,10592
Duke-UNC Rotary Peace Center at Duke University and UNC-Chapel Hill fact sheet,10484
Avenues of Service Citation Recipients,10481
District Planning Guide,10413
Exchange Rates - October 2021,10325
Peace and Conflict Prevention/Resolution Guidelines for Global Grant Funding,10220
Satellite Club Application,10054
Satellite Club Member Information Form,10043
Donations-in-kind Best Practices Guide,10040
Rotary Basics - for print,10027
District Public Image Seminar Guide,10025
Exchange Rates - December 2021,9917
Areas of Focus staff contact sheet,9811
Water and Sanitation Guidelines for Global Grant Funding,9794
State of Membership presentation - July,9549
How to Write a Compelling Nomination,9282
Rotary Peace Centre at the University of Bradford fact sheet,9244
Global Grant Lifecycle,9207
Rotary's Service Awards,9198
Training Plan for Global Grants,9117
How to Update Rotaract Club Information,9110
Rotary Citation Goals and Instructions for Interact Clubs,9008
Exchange Rates - November 2021,8998
Rotary Days of Service brochure,8973
Disease Prevention and Treatment Guidelines for Global Grant Funding,8963
Gift Acceptance Policy Manual,8921
Economic and Community Development Guidelines for Global Grant Funding,8904
Policy Related to Rotaract,8902
What Clubs Can Do - Flyer,8885
Presidents-elect Training Seminar Leaders' Guide,8870
Changes to the Rotary Code of Policies - Elevate Rotaract,8858
District Qualification Memorandum of Understanding,8847
Basic Education and Literacy Guidelines for Global Grant Funding,8803
A 寄付送金明細書 公益財団法人 ロータリー日本財団 （ロータリアン／クラブ用）,8743
Avenues of Service Award Examples of Eligible Service Activities,8729
How to Record Service Activities in Rotary Club Central,8707
Club Membership Committee Checklist,8643
Change of Club Name and/or Locality Form (.doc),8625
Rotary Community Corps (RCC) - brochure,8609
Rotary Peace Centers: Making Peace a Reality,8534
Guide for Prospective Rotary Fellowships,8524
Paul Harris Society brochure,8376
Recommended Interact Club Bylaws,8346
Five Steps to a Successful District Conference,8210
Understanding Membership Reports: Getting Started,8166
"Listing of Club-Sponsored Organizations (Rotaract, Interact, RCC)",8133
Rotary Youth Exchange Annual Report,8064
Uppsala Rotary Peace Center fact sheet,8007
Report of Action - 2019 Council on Legislation,7995
Google Chrome Download,7927
Discover Rotary,7876
District International Service Chair Directory,7731
Leadership In Action: Your Guide to Starting a Program,7708
Proposed Legislation - 2022 Council on Legislation,7647
Participant Booklet - 2022 International Assembly,7644
Rotary and Polio,7633
Rotary Disaster Response Grant Application,7535
Zone Structure Maps,7468
Messaging Guidelines,7274
University of Queensland Rotary Peace Centre fact sheet,7261
Maternal and Child Health Guidelines for Global Grant Funding,7244
Rotary Grants - presentation,7187
Documenting Expenses,7130
Your Rotary Legacy - notification card,7124
Budget Worksheet,7065
Registration for My Rotary,7044
Rotary Action Groups Officer Directory,6974
Proposing New Members,6888
Preliminary Breakout Session Schedule - 2022 Rotary International Convention,6855
"Take The First Step to Planning Sustainable, Successful Projects & Grants",6841
Rotary Foundation Facts - for print,6747
Standard Rotaract Club Constitution (In Effect on 1 July 2020),6710
District Team Training Seminar Leaders’ Guide,6688
Developing a Crisis Management Plan,6652
Club Memorandum of Understanding Resources - A Guide to Implementing the Club MOU,6627
Be a Vibrant Club: Your Club Leadership Plan - North America,6597
Rotarys Commitment to Diversity Equity and Inclusion Statement,6575
Grow Your District Using Membership Leads,6563
The Rotary Foundation Reference Guide - for print,6550
District Grant Lifecycle,6469
District Membership Committee Chair Terms and Responsibilities,6424
District Governor-nominee Form,6353
Rotary Institutes Schedule,6262
Rotary Direct - Rotary’s recurring giving program - form,6245
RI Service Above Self Award Recipients by District,6219
How to register for the international convention - 2022 Rotary International Convention,6200
Constitution of Rotary International (.doc),6181
Schedule at a Glance - 2021 Rotary Virtual Convention,6177
Rotary Peace Center at International Christian University fact sheet,6101
Guidelines for Rotary Foundation-Funded Project Signage,6099
Rotary Travel and Expense Policy,6098
How to Propose Enactments - Council on Legislation,6012
Application Supplement for Microcredit Projects,5937
District Training Assembly Leader's Guide,5892
Identity at a Glance,5870
How to remove a member,5841
How to Start a Rotaract Club,5791
Sponsor Clubs,5755
How to Select a Council Representative,5752
Rotary Action Groups (RAG) Annual Report,5715
Rotary Community Corps Constitution,5704
Rotary Friendship Exchange promotional postcard,5682
Informational Meetings,5666
How to View Information in Rotary Club Central,5651
Endowed and Directed Gifts for Global Grants FAQ,5638
Project Enhancement FAQ,5628
Rotary Service Connections flier,5614
Start Guide for Alternative Membership Types,5590
Rotary Action Groups flier,5561
Be a Vibrant Club - Your Club Leadership Plan - presentation,5515
District Membership Chair Training Curriculum,5447
Recommended Rotaract Club Bylaws (In Effect after 1 July 2020),5387
Rotary Community Corps (RCC) presentation,5371
Lead Your District: Committee Chair,5365
Lead Your District: Assistant Governor,5364
Leadership - Knaack,5321
Approved Disaster Response Grants for COVID-19 Response,5243
Charter List - New Rotary Club Application Form,5230
Be A Vibrant Club - Club Leadership Plan Worksheet,5211
Citation for Meritorious Service Recipients by District,5160
Leadership in Action Leader�s Guide,5151
Grant Management Leaders Guide,5121
Lead Your District:  Finance Committee,5115
New Club Charter Member List,5077
Cadre of Technical Advisers - Technical Coordinators,5070
Toastmasters and Rotary - Frequently Asked Questions,5060
Rotaract Citation Achievement Guide 2019-20,5031
Program Book - 2022 Rotary International Convention,5010
Grant Model Evaluation Summary - 2018-2019,4995
Conventions of Rotary International,4918
Increase Our Impact white paper,4911
World Interact Week - Certificate of Recognition,4848
Policy Related to Interact,4790
Bylaws of Rotary International (.doc),4711
Rotary Direct Frequently Asked Questions,4683
Arch Klumph Society brochure,4632
Club Qualification Memorandum of Understanding Worksheet,4581
Rotary Fellowships PowerPoint,4559
Organizational Meetings,4547
"Six Tips for Recruiting, Supporting, and Endorsing Successful Peace Fellows",4482
World Rotaract Week - Certificate of Recognition,4463
Speech - Service and Presidential Initiatives - RI President-elect Shekhar Mehta - 2021 International Assembly,4459
Doing Good in the World - Every Rotarian Every Year (EREY) club presentation,4435
Registration and Ticket Form - 2021 Rotary International Convention,4408
Strategic Plan Survey Results 2017,4364
Rotaract multidistrict information organizations - Getting started,4344
Rotary Global Rewards Promotional Kit,4323
2022-23 Theme Address - RI President-elect Jennifer Jones - 2022 International Assembly,4240
Youth Exchange - A Guide for Host Families,4160
Facts about Vocational Training Teams,4136
Paul Harris Society certificate template,4127
Vocational Training Team Member Application,4115
Interact identification card,4109
Interact Citation Achievement Guide 2019-20,4023
Project Planning Resources,3991
Roles and Responsibilities for Your District Conference,3976
How to Propose Resolutions - Council on Resolutions,3944
Using Grants Reports on My Rotary,3912
Project Lifecycle Kit,3897
Paul Harris Society brochure - International,3895
Invest in Peace - Become a Peacebuilder District,3882
Rotaract identification card,3869
Empowering Girls Initiative Talking Points,3868
How to Read Resolutions,3817
Participating in the Council on Resolutions,3809
"2018-19 Presidential Theme and Citation brochure - Barry Rassin, 2018-19 RI President",3761
Endowment Fund Financial Report - The Rotary Foundation,3745
Annual Report 2018-2019,3699
RI President’s Speech to the 2017 Rotary Convention - John F. Germ,3694
Empowering Girls Initiative brochure,3665
Unspecified,3661
Proposed Legislation - 2019 Council on Legislation,3649
Start Guide for Flexible Meeting Format and Attendance,3578
Rotary Community Corps Survey Results,3550
Paul Harris Society - PowerPoint presentation,3527
Rotary Peace Center at Chulalongkorn University fact sheet,3497
How to Manage Assistant Governors and Club Assignments,3461
Rotary Giving Works,3460
Club Merger Application,3443
Rotaract Club - Change of Sponsorship Form,3434
Candidates for RI Director in Zone 4,3423
Paul Harris Society Recognition Remarks,3422
Search the brand center,3421
Online Grant Management Seminar: Frequently Asked Questions,3392
Club Qualification for Rotary Grants - Frequently Asked Questions,3335
Rules of Procedure - Council on Resolutions,3310
Presidential Conference Series 2021-2022,3301
Global Grant Scholarship Candidate Application Template,3275
The Rotary Foundation Centennial brochure,3248
Recognition Replacement Form,3244
Guide for Prospective Rotary Action Groups,3235
Programs of Scale Grants Application Guidelines,3165
Rotary Code of Policies Amendments,3161
President nominating committee candidates from Zone 13,3154
Be A Vibrant Club: Your Club Leadership Plan - Western Europe,3129
Promotional brochure - 2022 Rotary International Convention,3123
District Incorporation Application,3108
Rotary Virtual Convention Release/Submission Terms,3087
Rotary Community Corps Bylaws,3066
Paul Harris Society promotional handout,3035
Managing Membership Leads presentation,3021
Global Outlook Series: Guide to Sustainability,3000
2016 Council Grants Clubs Greater Flexibility,2980
Youth Travel Excerpts Reference - Rotary Code of Policies,2974
International Assembly Leader's Guide,2940
Hotel Reservation Form - 2020 RI Convention,2925
Logos - 2022 Rotary International Convention,2891
Global Outlook: A Rotarian's Guide to Getting and Keeping Members,2885
Vocational Service Presentation,2872
Enhance Participant Engagement white paper,2839
Rotary Global Rewards Vendor Offers,2832
Rotary Disaster Response Grant Report,2831
Annual Report 2019-2020,2802
Empowering Girls Initiative Ambassador Role and Responsibilities,2786
Memorial or Tribute Gift Form,2779
Jennifer Jones Vision and goals statement,2777
"Speech - John Hewko, General Secretary - 2020 International Assembly",2773
Expand Our Reach white paper,2761
MyRotary Registration Flow Chart,2730
Programs of Scale Grants Terms and Conditions,2723
How to Choose or Change a Club Management Vendor,2702
Donor Advised Funds Leaflet,2672
Positive Peace in Action Guide,2658
District Designated Funds DDF Best Practices,2653
Empowering Girls Initiative presentation,2622
